db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
1	1	MEME	5.10E-203	9.70E-206	-4.72E+02	0	83	489	1041	2356	0.16973	4.00E-208	2.44E+02	52	120	3.10E-09	-1.96E+01		1.00E+00	0
1	2	MEME	3.40E-10	6.40E-13	-2.81E+01	0	259	489	800	1.25E+03	0.52965	2.60E-15	2.44E+02	5.30E+01	8.90E+01	1.00E+00	0.00E+00		1.00E+00	0
1	3	MEME	9.30E-26	1.80E-28	-6.39E+01	0	197	489	1014	1898	0.40286	7.30E-31	2.44E+02	4.90E+01	109	1.00E+00	0.00E+00		1.00E+00	0
2	MA0002.2	RUNX1	3.30E-07	6.30E-10	-2.12E+01	0	192	490	2251	5123	0.39184	2.60E-12	2.44E+02	1.43E+02	292	1.00E-01	-2.31E+00		1.00E+00	0
2	MA0003.3	TFAP2A	2.60E-01	5.00E-04	-7.59E+00	0	246	490	1998	3699	5.02E-01	2.10E-06	2.44E+02	114	2.22E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0004.1	Arnt	7.70E-12	1.50E-14	-3.18E+01	0	215	495	962	1810	0.43434	6.00E-17	2.47E+02	5.30E+01	98	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0006.1	Ahr::Arnt	1.90E-11	3.70E-14	-3.09E+01	0	249	495	2394	4230	5.03E-01	1.50E-16	2.47E+02	131	2.39E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0014.2	PAX5	3.10E-06	5.90E-09	-1.90E+01	0	216	482	1651	3265	0.44813	2.40E-11	2.40E+02	9.60E+01	195	1.00E+00	0.00E+00		1.00E+00	0
2	MA0018.2	CREB1	4.40E-13	8.40E-16	-3.47E+01	0	263	493	2620	4379	5.33E-01	3.40E-18	2.46E+02	147	2.51E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0024.3	E2F1	1.30E-05	2.50E-08	-1.75E+01	0	235	489	636	1102	0.48057	1.00E-10	2.44E+02	34	64	1.00E+00	0.00E+00		1.00E+00	0
2	MA0028.2	ELK1	1.00E-39	2.00E-42	-9.60E+01	0	227	491	1242	2009	4.62E-01	8.20E-45	2.45E+02	69	1.26E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0029.1	Mecom	1.30E-10	2.60E-13	-2.90E+01	0	103	487	330	1039	0.2115	1.10E-15	2.43E+02	1.60E+01	45	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0035.3	Gata1	4.30E-169	8.20E-172	-3.94E+02	0	82	490	984	2395	0.16735	3.40E-174	2.44E+02	5.60E+01	128	1.80E-10	-2.24E+01		1.00E+00	0
2	MA0036.2	GATA2	3.60E-206	6.90E-209	-4.79E+02	0	87	487	1168	2661	1.79E-01	2.80E-211	2.43E+02	66	1.39E+02	3.10E-13	-2.88E+01		1.00E+00	0
2	MA0037.2	GATA3	1.80E-100	3.40E-103	-2.36E+02	0	87	493	483	1015	1.76E-01	1.40E-105	2.46E+02	22	5.50E+01	2.00E-02	-3.92E+00		1.00E+00	0
2	MA0039.2	Klf4	8.40E-26	1.60E-28	-6.40E+01	0	231	491	2239	3986	4.70E-01	6.50E-31	2.45E+02	111	2.26E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0048.2	NHLH1	6.20E-12	1.20E-14	-3.21E+01	0	183	491	1283	2857	3.73E-01	4.90E-17	2.45E+02	80	1.72E+02	9.10E-01	-9.00E-02		1.00E+00	0
2	MA0058.3	MAX	1.20E-03	2.20E-06	-1.30E+01	0	243	491	1405	2550	4.95E-01	9.20E-09	2.45E+02	79	1.51E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0059.1	MAX::MYC	1.50E-02	2.90E-05	-1.04E+01	0	262	490	1030	1726	0.53469	1.20E-07	2.44E+02	4.90E+01	102	1.00E+00	0.00E+00		9.70E-01	-0.04
2	MA0060.2	NFYA	3.30E-20	6.40E-23	-5.11E+01	0	163	483	649	1371	3.37E-01	2.60E-25	2.41E+02	26	7.10E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0062.2	Gabpa	2.20E-46	4.20E-49	-1.11E+02	0	228	490	1969	3303	4.65E-01	1.70E-51	2.44E+02	110	2.00E+02	9.10E-01	-9.00E-02		1.00E+00	0
2	MA0067.1	Pax2	2.40E-07	4.60E-10	-2.15E+01	0	127	493	1577	5251	2.58E-01	1.90E-12	2.46E+02	92	3.03E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0076.2	ELK4	3.30E-42	6.30E-45	-1.02E+02	0	228	490	2049	3489	4.65E-01	2.60E-47	2.44E+02	126	2.11E+02	2.60E-02	-3.65E+00		1.00E+00	0
2	MA0079.3	SP1	7.40E-16	1.40E-18	-4.11E+01	0	196	490	1705	3572	0.4	5.80E-21	2.44E+02	8.90E+01	215	1.00E+00	0.00E+00		1.00E+00	0
2	MA0089.1	MAFG::NFE2L1	4.80E+00	9.30E-03	-4.68E+00	0	103	495	1210	5247	0.20808	3.80E-05	2.47E+02	7.00E+01	295	1.00E+00	0.00E+00		1.00E+00	0
2	MA0093.2	USF1	1.20E-04	2.30E-07	-1.53E+01	0	248	490	1354	2385	0.50612	9.50E-10	2.44E+02	6.30E+01	123	1.00E+00	0.00E+00		1.00E+00	0
2	MA0098.3	ETS1	2.70E-37	5.20E-40	-9.05E+01	0	209	491	2054	3839	4.26E-01	2.10E-42	2.45E+02	128	2.21E+02	7.70E-04	-7.17E+00		1.00E+00	0
2	MA0099.2	FOS::JUN	8.60E-03	1.60E-05	-1.10E+01	0	158	494	1734	4877	3.20E-01	6.70E-08	2.46E+02	107	2.84E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0111.1	Spz1	4.40E-01	8.40E-04	-7.08E+00	0	80	490	786	4143	0.16327	3.40E-06	2.44E+02	5.00E+01	232	1.00E+00	0.00E+00		1.00E+00	0
2	MA0130.1	ZNF354C	4.20E-04	8.00E-07	-1.40E+01	0	199	495	2258	5108	4.02E-01	3.20E-09	2.47E+02	118	2.94E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0131.2	HINFP	7.60E-07	1.50E-09	-2.04E+01	0	259	489	1369	2280	0.52965	6.00E-12	2.44E+02	80	145	1.00E+00	0.00E+00		1.00E+00	0
2	MA0136.2	ELF5	7.10E-15	1.40E-17	-3.88E+01	0	230	490	2613	4889	4.69E-01	5.50E-20	2.44E+02	149	2.76E+02	9.40E-01	-7.00E-02		1.00E+00	0
2	MA0139.1	CTCF	1.50E-28	2.90E-31	-7.03E+01	0	194	482	1224	2325	0.40249	1.20E-33	2.40E+02	6.70E+01	134	9.70E-01	-4.00E-02		1.00E+00	0
2	MA0140.2	GATA1::TAL1	5.00E-46	9.60E-49	-1.11E+02	0	95	483	655	1906	1.97E-01	4.00E-51	2.41E+02	39	1.00E+02	1.50E-03	-6.47E+00		1.00E+00	0
2	MA0146.2	Zfx	3.00E-03	5.80E-06	-1.21E+01	0	213	487	1509	3103	0.43737	2.40E-08	2.43E+02	7.60E+01	166	1.00E+00	0.00E+00		1.00E+00	0
2	MA0150.2	Nfe2l2	5.70E-07	1.10E-09	-2.06E+01	0	132	486	721	2126	2.72E-01	4.50E-12	2.42E+02	37	1.12E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0156.2	FEV	5.40E-36	1.00E-38	-8.75E+01	0	209	491	2067	3880	0.42566	4.20E-41	2.45E+02	1.30E+02	216	3.50E-05	-1.03E+01		1.00E+00	0
2	MA0160.1	NR4A2	9.70E-02	1.90E-04	-8.59E+00	0	237	493	2494	4838	0.48073	7.60E-07	2.46E+02	1.30E+02	284	1.00E+00	0.00E+00		1.00E+00	0
2	MA0161.1	NFIC	8.00E-02	1.50E-04	-8.79E+00	0	107	495	1284	5258	2.16E-01	6.20E-07	2.47E+02	55	3.04E+02	1.00E+00	0.00E+00		7.80E-01	-0.24
2	MA0162.2	EGR1	1.60E-15	3.10E-18	-4.03E+01	0	225	487	1926	3571	4.62E-01	1.30E-20	2.43E+02	90	2.00E+02	1.00E+00	0.00E+00		8.70E-01	-0.14
2	MA0258.2	ESR2	5.30E-03	1.00E-05	-1.15E+01	0	210	486	1784	3749	4.32E-01	4.20E-08	2.42E+02	106	2.19E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0259.1	ARNT::HIF1A	1.70E-18	3.40E-21	-4.72E+01	0	171	493	1230	2810	3.47E-01	1.40E-23	2.46E+02	63	1.55E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0462.1	BATF::JUN	1.50E-03	2.90E-06	-1.28E+01	0	78	490	422	2047	1.59E-01	1.20E-08	2.44E+02	23	1.27E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0464.2	BHLHE40	1.80E-07	3.50E-10	-2.18E+01	0	219	491	877	1647	0.44603	1.40E-12	2.45E+02	5.20E+01	97	1.00E+00	0.00E+00		1.00E+00	0
2	MA0470.1	E2F4	1.20E-01	2.40E-04	-8.35E+00	0	266	490	1043	1739	5.43E-01	9.70E-07	2.44E+02	74	1.18E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0471.1	E2F6	1.40E+00	2.70E-03	-5.93E+00	0	244	490	1534	2852	4.98E-01	1.10E-05	2.44E+02	82	1.61E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0472.2	EGR2	3.00E-12	5.80E-15	-3.28E+01	0	318	490	1393	1884	0.64898	2.40E-17	2.44E+02	8.10E+01	118	1.00E+00	0.00E+00		1.00E+00	0
2	MA0473.2	ELF1	1.00E-33	1.90E-36	-8.22E+01	0	213	489	998	1681	4.36E-01	7.80E-39	2.44E+02	61	1.06E+02	4.70E-01	-7.50E-01		1.00E+00	0
2	MA0474.2	ERG	2.40E-37	4.70E-40	-9.06E+01	0	209	491	2108	3950	4.26E-01	1.90E-42	2.45E+02	131	2.21E+02	1.10E-04	-9.16E+00		1.00E+00	0
2	MA0475.2	FLI1	2.60E-45	5.00E-48	-1.09E+02	0	209	491	1690	3013	0.42566	2.00E-50	2.45E+02	103	177	5.10E-03	-5.29E+00		1.00E+00	0
