uid	id	alt	len	motif_evalue	n_tested	total_sites	neg_total_sites
motif_00000	1	MEME	12	8.0e-012	244	2356	120
motif_00001	2	MEME	12	5.4e+003	244	1251	89
motif_00002	3	MEME	12	2.8e-017	244	1898	109
motif_00003	MA0002.2	RUNX1	11	0.0e+000	244	5123	292
motif_00004	MA0003.3	TFAP2A	11	0.0e+000	244	3699	222
motif_00005	MA0004.1	Arnt	6	0.0e+000	247	1810	98
motif_00006	MA0006.1	Ahr::Arnt	6	0.0e+000	247	4230	239
motif_00007	MA0014.2	PAX5	19	0.0e+000	240	3265	195
motif_00008	MA0018.2	CREB1	8	0.0e+000	246	4379	251
motif_00009	MA0024.3	E2F1	12	0.0e+000	244	1102	64
motif_00010	MA0028.2	ELK1	10	0.0e+000	245	2009	126
motif_00011	MA0029.1	Mecom	14	0.0e+000	243	1039	45
motif_00012	MA0035.3	Gata1	11	0.0e+000	244	2395	128
motif_00013	MA0036.2	GATA2	14	0.0e+000	243	2661	139
motif_00014	MA0037.2	GATA3	8	0.0e+000	246	1015	55
motif_00015	MA0039.2	Klf4	10	0.0e+000	245	3986	226
motif_00016	MA0048.2	NHLH1	10	0.0e+000	245	2857	172
motif_00017	MA0058.3	MAX	10	0.0e+000	245	2550	151
motif_00018	MA0059.1	MAX::MYC	11	0.0e+000	244	1726	102
motif_00019	MA0060.2	NFYA	18	0.0e+000	241	1371	71
motif_00020	MA0062.2	Gabpa	11	0.0e+000	244	3303	200
motif_00021	MA0067.1	Pax2	8	0.0e+000	246	5251	303
motif_00022	MA0076.2	ELK4	11	0.0e+000	244	3489	211
motif_00023	MA0079.3	SP1	11	0.0e+000	244	3572	215
motif_00024	MA0089.1	MAFG::NFE2L1	6	0.0e+000	247	5247	295
motif_00025	MA0093.2	USF1	11	0.0e+000	244	2385	123
motif_00026	MA0098.3	ETS1	10	0.0e+000	245	3839	221
motif_00027	MA0099.2	FOS::JUN	7	0.0e+000	246	4877	284
motif_00028	MA0111.1	Spz1	11	0.0e+000	244	4143	232
motif_00029	MA0130.1	ZNF354C	6	0.0e+000	247	5108	294
motif_00030	MA0131.2	HINFP	12	0.0e+000	244	2280	145
motif_00031	MA0136.2	ELF5	11	0.0e+000	244	4889	276
motif_00032	MA0139.1	CTCF	19	0.0e+000	240	2325	134
motif_00033	MA0140.2	GATA1::TAL1	18	0.0e+000	241	1906	100
motif_00034	MA0146.2	Zfx	14	0.0e+000	243	3103	166
motif_00035	MA0150.2	Nfe2l2	15	0.0e+000	242	2126	112
motif_00036	MA0156.2	FEV	10	0.0e+000	245	3880	216
motif_00037	MA0160.1	NR4A2	8	0.0e+000	246	4838	284
motif_00038	MA0161.1	NFIC	6	0.0e+000	247	5258	304
motif_00039	MA0162.2	EGR1	14	0.0e+000	243	3571	200
motif_00040	MA0258.2	ESR2	15	0.0e+000	242	3749	219
motif_00041	MA0259.1	ARNT::HIF1A	8	0.0e+000	246	2810	155
motif_00042	MA0462.1	BATF::JUN	11	0.0e+000	244	2047	127
motif_00043	MA0464.2	BHLHE40	10	0.0e+000	245	1647	97
motif_00044	MA0470.1	E2F4	11	0.0e+000	244	1739	118
motif_00045	MA0471.1	E2F6	11	0.0e+000	244	2852	161
motif_00046	MA0472.2	EGR2	11	0.0e+000	244	1884	118
motif_00047	MA0473.2	ELF1	12	0.0e+000	244	1681	106
motif_00048	MA0474.2	ERG	10	0.0e+000	245	3950	221
motif_00049	MA0475.2	FLI1	10	0.0e+000	245	3013	177
motif_00050	MA0476.1	FOS	11	0.0e+000	244	1355	89
motif_00051	MA0477.1	FOSL1	11	0.0e+000	244	1143	72
motif_00052	MA0478.1	FOSL2	11	0.0e+000	244	1565	87
motif_00053	MA0482.1	Gata4	11	0.0e+000	244	2886	145
motif_00054	MA0483.1	Gfi1b	11	0.0e+000	244	2988	160
motif_00055	MA0488.1	JUN	13	0.0e+000	243	1266	79
motif_00056	MA0489.1	JUN(var.2)	14	0.0e+000	243	1712	111
motif_00057	MA0490.1	JUNB	11	0.0e+000	244	1221	75
motif_00058	MA0491.1	JUND	11	0.0e+000	244	917	55
motif_00059	MA0492.1	JUND(var.2)	15	0.0e+000	242	1138	69
motif_00060	MA0493.1	Klf1	11	0.0e+000	244	3362	187
motif_00061	MA0499.1	Myod1	13	0.0e+000	243	2442	150
motif_00062	MA0500.1	Myog	11	0.0e+000	244	2087	126
motif_00063	MA0501.1	MAF::NFE2	15	0.0e+000	242	1267	75
motif_00064	MA0502.1	NFYB	15	0.0e+000	242	1343	63
motif_00065	MA0506.1	NRF1	11	0.0e+000	244	1860	116
motif_00066	MA0509.1	Rfx1	14	0.0e+000	243	2315	135
