motif_00000	motif_00001	motif_00002	motif_00003	motif_00004	motif_00005	motif_00006	motif_00007	motif_00008	motif_00009	motif_00010	motif_00011	motif_00012	motif_00013	motif_00014	motif_00015	motif_00016	motif_00017	motif_00018	motif_00019	motif_00020	motif_00021	motif_00022	motif_00023	motif_00024	motif_00025	motif_00026	motif_00027	motif_00028	motif_00029	motif_00030	motif_00031	motif_00032	motif_00033	motif_00034	motif_00035	motif_00036	motif_00037	motif_00038	motif_00039	motif_00040	motif_00041	motif_00042	motif_00043	motif_00044	motif_00045	motif_00046	motif_00047	motif_00048	motif_00049	motif_00050	motif_00051	motif_00052	motif_00053	motif_00054	motif_00055	motif_00056	motif_00057	motif_00058	motif_00059	motif_00060	motif_00061	motif_00062	motif_00063	motif_00064	motif_00065	motif_00066	motif_00067	motif_00068	motif_00069	motif_00070	motif_00071	motif_00072	motif_00073	motif_00074	motif_00075	motif_00076	motif_00077	motif_00078	motif_00079	motif_00080	motif_00081	motif_00082	motif_00083	motif_00084	motif_00085	motif_00086	motif_00087	motif_00088	motif_00089	motif_00090	motif_00091	motif_00092	motif_00093	motif_00094	motif_00095	motif_00096	motif_00097	motif_00098	motif_00099	motif_00100	motif_00101	motif_00102	motif_00103	motif_00104	motif_00105	motif_00106	motif_00107	motif_00108	motif_00109	motif_00110	motif_00111	motif_00112	motif_00113	motif_00114	motif_00115	motif_00116	motif_00117	motif_00118	motif_00119	motif_00120	motif_00121	motif_00122	motif_00123	motif_00124	motif_00125	motif_00126	motif_00127	motif_00128	motif_00129	motif_00130	motif_00131	motif_00132	motif_00133	motif_00134	motif_00135	motif_00136	motif_00137	motif_00138	motif_00139	motif_00140	motif_00141	motif_00142	motif_00143	motif_00144	motif_00145	motif_00146	motif_00147	motif_00148	motif_00149	motif_00150	motif_00151	motif_00152	motif_00153	motif_00154	motif_00155	motif_00156	motif_00157	motif_00158	motif_00159	motif_00160	motif_00161	motif_00162	motif_00163	motif_00164	motif_00165
1	1	5	7	6	3	9.75	8	8	1	2	1	1	7	0	6	5	4	5	2	3	9.5	4	6	7.5	6	3	5	9	9.5	8	6	3	5	8	3	1	9	11.5	9	4	6	4	2	6	5	2	1	1	2	4	2	1	4.5	5	2	4	1	2	0	6	6	4	1	2	6	5	0	6	8	9	4	7	3	3	2	1	3	3	8	1	7	6	7.5	3	3	0	3	6	2	9	2	2	0	1	3	3	0	4	0	0	1	1	5	6	11	4	3	2	3	11	1	2	3	8	1	5	9	9	7	2	8	4	9	5	4.5	0	5	5	6	2	4	1	4	5	3	3	8	1	10	5	7	14	15	7.5	10	10	1	7	3	2	2	7	6	1	1	0	1	0	0	11	1	1	5	9	7
1	2	3	14	5	4	12.8333	5	9	5	1	3	2	4	1	3	5	7	8	4	4	9	3	9	12	5	7	6	12	13.5	14	9	3	4	8	3	7	12	9	10	8	5	3	4	5	6	5	0	7	4	1	2	4	0	7	2	1	2	1	2	10	6	4	5	2	7	6	0	7	9	8	4	5	4	3	4	3	5	3	6	0	6	0	5	5	1	0	7	4	1	10	1	5	3	2	3	3	6	7	0.5	1	1	1	4	9	8	1	3	4	11	8	1	0	5	7	6	5	2.5	10	12.5	3	8	2	10	3	3	1	8	4	6	6	6	7	6	2	7	7	10	1	8	8	7	14	17	7	4	8	1	5	6	3	3	7	9	3	0	0	3	0	1	11	0	3	11	6	11
2	2	1	14	7	5	6.83333	7	4	3	2	1	3	2	1.5	9	5	6	6	0	5	10.5	7	7	10.5	4	7.5	19	7	9	1	6	1	2	9	5	7	12	7.5	7	7	6	3	1	4	9	3	3	8	6	1	1	2	1	7	4	4	3	1	3	9.5	4	5	6	5	2	4	0	5	10	9.5	7	6	6	3	1	2	1	4	10	0	7	1	5	5	1	1	0	2	0	9	0	9	0	1	4	2	4	6	2	0	0	2	3	7	8	3	2	1	4	9	0	3	5	5.5	3	8	5	7	5	7	5	3	6	6	8	0	3	7	7	6	5	8	3	4	8	9	9.5	1	10	10	8.5	17.5	14	6	6.5	4	5	6	7	0	0	5	8	0	0	0	2	0	0	11	3	3	4	3	10
3	2	4	10	4	1.33333	7.83333	4	7	2	1	4	4	6	1	3.5	9	7	2	3	6	12	4	6	8.33333	7	7.5	6	7	8.58333	4	14	1	3	9	3	4	6.5	8.25	8	7	3.5	3	5	3	4	5	2	9	3	2	2	3	4	10	4	3	2	2	2	7	3	4	1	3	4	5	1	5	7	9	5	12	4	1	0	2	2	3	5	2	4.5	3	4	2	1	0	3	1	1	10	1	5	2	0	1	2	7	7	1.5	0	0	1	8	9	4	1	2	2	6.5	7	6	4	7	5.5	2	7	3	8	8	2	10.5	2	11.5	12	5.5	0	2	8	3	6	7	8	2	9	7	5	12	1	12	9	6	12	15	5	13	12	5	8	10.5	1	1	12	10	0	0	0	0	0	0	15	1	2	13	7	10
4	4	6	12	13	2.5	6.66667	6	2.5	2	2	3	1	1	2	8	2	8	3	2	3	14	9.5	13	10	7	4	7.5	11	10.5	4	3	1	3	6	1	5	10	7.83333	6	7	5	2	1	2	5	3	1	4.5	4	3	2	1	9	6	1	3	0	1	1	4	2	5.5	5	3	2	5	0	6	5	12	4.5	4	1	0	1	1	0	4	8	0	8	2	9	4	2	1	4.5	5	3	15	3	5	1	1	1	0	7	4	2	0	2	1	3	11	8	0	0	4	4	5	3	6	1	6.5	4	9	7	15	12	4	5	2	10	5	6.5	0	5	7	3.5	4	3	9	0	7	8	8	10	2	5	4	3	6	8	11	8	10	4	13	6	2	2	5	8	1	1	0	1	0	1	14	3	4	5	6	8
1	3	1	9	5	3.5	5.83333	6	6	1	4	2	5	5	0	8	10	6	1	4	4	13	3	9	14.8333	2	6	14	4	7.33333	3	9	7	5	3	2	6	11	11.8333	7	8	6	4	4	6	4	3	2	7	5	2	1	3	3	8	0	5	3	1	0	7	4	1.5	2	1	2	2	1	4	7	6	4.5	5	3	1	2	2	2	5	10	1	4	1	4.5	3	2	0	4	9	1	11	1	6	1	3	0	2	7	5	1	1	0	1	5	12	8	5	5	4	8	7	2	2	2	10	2	8	8	13	9	3	7	5	11	8	6	0	5	5	4	7	5	7	4	6	7	7	5.5	2	8	4	2.5	9	8	5	8	6	2	11	7	2	2	5	12	1	1	0	5	1	1	13	0	2	8	4	10
2	0	0	14	8	1.33333	6.75	5	4.5	4	0	0	6	4	1	5	5	5	4	2	3	12	1	5	10	6	3	13.5	6	9.83333	5	10	3	0	7	7	4	6	11	3	6	7	3	3	4	8	2	2	2	1	2	2	3	5	4	1	3	2.5	2	2	5	6	2	1	4	2	3	1	8	4	5	2	9	2	3	1	6	5	5	2	0	6	3	4.5	4	1	1	2	5	1	9	1	4	1	3	3	3	5	4	2	0	2	1	4	9	8	2	2	5	6	10	4	4	4	5	1	5	8	8	9	5	7.5	0	9.5	7	8	0	2	8	8.33333	2	2	4	1	3	5	4	9	2	9	4	5	8	8	9	4	9	2	9	5	2	4	10	8	2	0	0	1	0	1	11	0	1	6	7	8
3	2	3	10	6	2	9.83333	3	13	1	1	1	3	5	4	7	1	6	3	1	5.5	10	5	1	8.5	2	7	9.5	6	13.5	3	8	4	4	3	7	7	13	13.3333	1	11	4	5	0	0	3	1	0	5	5	3	3	2	6	4.5	3	2	3	2	3	5	2	1	1	2	2	3	2	3	4	5	2	2	2	2	4	5	7	1	4	0	6	2	5	6	2	1	2	3.5	0	7	0	5	1	0	2	0	5	2	5	0	2	1	3	12	10	1	3	1	7	2	2	1	5.5	7	2	5	4	3.5	5	5	3	2	9.5	8	8	0	6	6	8.33333	5	3	6	3	5	6	4	11.5	1	3	4	3	3	10	6	2	6	1	5	4	1	2	4	6	2	0	0	1	0	2	13	1	6	10	5	12
2	2	5	12	5	2	12.25	9	5	0	1	3	3	3	1	6	4	3	1	1	5.5	11.5	8	6	13.5	3	4	12.5	2	6.33333	1	8	4	3	4	3	5	12.5	14.8333	5	11	1	6	1	5	7	2	2	6	4	2	0	3	2	5	3	3	2	1	1	6	7	5	1	3	3	4	1	9	8	8	5	2	2	1	1	3	5	4	3	1	2	1	5	1.5	0	1	3	1	0	9	0	3	1	1	1	1	7	4	2	0	2	1	3	12	8	2	2	2	7	12	2	0	1	12	1	3	6	7.5	9	4	12	2	16	12	4	0	7	5	8.33333	8	6	8	0	4	9	7	9	2	10	5	5	12	10.5	5	6	5	2	6	7	2	2	3	7	1	0	0	3	0	0	14	0	5	9	6	8
4	0	5	10	6	4	4.75	6	7	2.5	1	0	2	4	0	9	5	3	1	3	8	12	2	4	10.3333	9	5	15.5	12	10.6667	5	7	4	3	5	3	4	10	11.3333	6	6	6	1	0	3	6	4	3	4	4	3	1	1	2	7.5	1	3	1	2	1	8	8	3.5	2	3	1	9	1	8	13	5	3.5	5	6	2	0	4	4	4	6	0	6	2	5	4	1	1	6	4	0	10	0	5	0	1	1	4	4	6	1	1	2	0	3	12	13	1	5	3	8	15	0	1	3	10	4	9	6	17	10.5	4	5	4	7	6.33333	6	0	7	2	6.2	5	4	4	2	4	5	6	6.5	3	7.5	7	3	5	6	5	10	5	1	5	4	0	4	4	11	5	0	0	0	1	1	9	3	6	11	6	5
