id	alt	cliffs.delta	centrimo	zeta	credible	cliffs.delta.rank	centrimo.rank	zeta.rank	credible.rank
MA0037.2	GATA3	0.358498785959092	6.77945221002038e-106	0.232726301815058	0.238835686563265	1	6	1	1
1	MEME	0.327866718051809	3.98126606949941e-208	0.205179160081023	0.230594167845239	2	2	2	2
MA0036.2	GATA2	0.312811798994835	2.83948741902063e-211	0.193213377986915	0.220968160285334	3	1	3	3
MA0035.3	Gata1	0.295399429082698	3.3746104160105e-174	0.176640066536934	0.202818839305584	4	4	4	4
MA0482.1	Gata4	0.238106552392267	4.86139147013278e-132	0.121986472843675	0.152586915340955	5	5	6	5
MA0766.1	GATA5	0.189109575922964	1.23056537272751e-174	0.100251907204085	0.138301370005286	13	3	11	6
MA0685.1	SP4	0.21109926241891	3.5521362324551e-33	0.109900236117389	0.118611946738888	7	23	9	7
MA0028.2	ELK1	0.188492922378827	8.15451935517335e-45	0.0890954114260325	0.111355279935967	14	11	14	8
MA0473.2	ELF1	0.192072106266476	7.84350738140328e-39	0.0911741247220957	0.109521886899527	11	19	12	9
MA0657.1	KLF13	0.213507595267935	2.53818320184175e-16	0.123877301677057	0.105407274728468	6	62	5	10
MA0140.2	GATA1::TAL1	0.161779625851892	3.96383827858655e-51	0.0796124967251772	0.103982120245886	20	8	16	11
MA0475.2	FLI1	0.161495028670736	2.04917174647258e-50	0.0684400250410623	0.0975342334583083	21	9	19	12
MA0502.1	NFYB	0.170565866602931	1.40518718332715e-28	0.0832690335776985	0.0969867262535795	15	30	15	13
MA0062.2	Gabpa	0.152468689564836	1.71114072139157e-51	0.0639496680571619	0.094906790205111	29	7	23	14
MA0641.1	ELF4	0.159522091045007	2.97270074031963e-32	0.0676228295712759	0.0889541919278297	23	24	20	15
MA0076.2	ELK4	0.14108246910114	2.02697052376962e-47	0.0550992235955362	0.0868419350507996	35	10	30	16
MA0834.1	ATF7	0.210328594343517	1.28468409376123e-12	0.109945227860436	0.0850789747449697	9	85	8	17
3	MEME	0.160511225894872	5.5652468291415e-31	0.0644463068401563	0.0849906848698602	22	26	22	18
MA0060.2	NFYA	0.166874310057642	1.98779909361351e-25	0.0685512178094455	0.0827887656734229	18	33	18	19
MA0762.1	ETV2	0.152098607828592	1.47891810641671e-33	0.0564615710550367	0.0817986933687381	30	22	28	20
MA0139.1	CTCF	0.14716816133494	1.19837883979865e-33	0.0565403964604621	0.081553125509458	32	21	27	21
MA0656.1	JDP2(var.2)	0.210999892368959	9.09070602762758e-12	0.105945076455176	0.0795253928167003	8	94	10	22
MA0760.1	ERF	0.136781255720743	2.69513368748937e-41	0.0484061042195573	0.0792792381299626	37	14	35	23
MA0477.1	FOSL1	0.156673272983734	1.8460105167564e-20	0.069156909327947	0.078128766299309	24	41	17	24
MA0840.1	Creb5	0.191125393579381	6.41439897890649e-13	0.0910138321890919	0.0766518119490632	12	83	13	25
MA0742.1	Klf12	0.147370853553497	6.97015294323107e-27	0.0571091969345822	0.0766098279504705	31	31	26	26
MA0098.3	ETS1	0.125969986455867	2.13183092133783e-42	0.0425724357192151	0.0754496962512372	45	13	42	27
MA0474.2	ERG	0.123019412720101	1.53769476573823e-42	0.0412081563875062	0.0745125074689468	51	12	45	28
MA0156.2	FEV	0.123840468315271	3.9214916123547e-41	0.0402692290744434	0.0733037144567854	50	15	48	29
MA0759.1	ELK3	0.125974624791308	4.68511118312018e-40	0.040679976359475	0.0731013091693602	44	18	47	30
MA0598.2	EHF	0.121340929009641	1.59673859710503e-30	0.0410272220030952	0.0691390882023938	53	27	46	31
MA0740.1	KLF14	0.125823529814198	1.59972106929872e-25	0.0461764577428228	0.0690440208627893	46	32	37	32
MA0761.1	ETV1	0.116667642959533	3.45318959818696e-40	0.0347538141670358	0.0689817292429508	58	17	52	33
MA0765.1	ETV5	0.114037794129711	5.90143960989376e-41	0.031617830731872	0.0670211271255658	61	16	55	34
MA0764.1	ETV4	0.108893943116169	1.90181194840854e-38	0.0305402458208267	0.0653118802255411	65	20	59	35
MA0686.1	SPDEF	0.135204656834549	2.42955583774844e-21	0.0436848598021681	0.0628691879805706	38	38	40	36
MA0640.1	ELF3	0.14257765602148	9.73006806192529e-20	0.0461220203895164	0.062314520489904	34	45	38	37
MA0608.1	Creb3l2	0.162223471691416	3.43418797758992e-15	0.0578997057012521	0.0619858047263243	19	69	25	38
MA0638.1	CREB3	0.146030116358658	3.40851755656976e-14	0.0541266418245205	0.0587346631063366	33	73	31	39
MA0478.1	FOSL2	0.132808241507466	5.17544918837104e-18	0.0413138812628221	0.0582548890511954	40	53	44	40
MA0506.1	NRF1	0.119915153346937	8.71835284927089e-20	0.0379368487018847	0.058162992465496	55	44	51	41
MA0039.2	Klf4	0.101473591330289	5.43483657604193e-31	0.0244467590210216	0.0579801201559655	75	25	65	42
2	MEME	0.12718332491471	2.0085642606927e-15	0.0434103654445208	0.0557724363353376	42	68	41	43
MA0844.1	XBP1	0.126531034979646	4.02429509026398e-13	0.0517945153069947	0.0551693273235064	43	80	32	44
MA0645.1	ETV6	0.100193537303844	1.29414730973975e-29	0.0209950143358815	0.0549360080707814	77	29	72	45
MA0491.1	JUND	0.153401731466851	3.72244646881774e-16	0.0425250420191033	0.0540570907580341	28	63	43	46
MA0259.1	ARNT::HIF1A	0.109069312177285	1.50007214851192e-23	0.0242012572408412	0.0524943743948852	64	35	66	47
MA1099.1	Hes1	0.0938887227117846	1.21427992857596e-29	0.0162223192532186	0.0518909460664019	79	28	77	48
MA0029.1	Mecom	0.0983353524653503	1.05340358737941e-15	0.0390395259948549	0.0518206976840263	78	67	49	49
MA0841.1	NFE2	0.155192743764172	2.60815335709069e-10	0.0656480622195499	0.0516094473650284	27	103	21	50
MA0604.1	Atf1	0.120908705693569	4.61302697196333e-18	0.0279985041500239	0.0507817111165234	54	51	61	51
MA0615.1	Gmeb1	0.115936967073331	2.39204699656443e-20	0.0239876963925323	0.0506789864380962	60	42	67	52
MA0004.1	Arnt	0.124605587202126	6.66876218329938e-17	0.0306179128907279	0.0497719442751673	49	59	58	53
MA0492.1	JUND(var.2)	0.129398193350546	2.37488144538188e-13	0.0390314476937478	0.0495078414632153	41	77	50	54
MA0472.2	EGR2	0.111075003249708	2.3866381189791e-17	0.0235357523274401	0.0481891208452961	62	54	69	55
MA0516.1	SP2	0.087796820284743	4.33274309311599e-25	0.0138318237956699	0.0474896455198272	87	34	78	56
MA0611.1	Dux	0.0839909712645672	2.94012617039577e-17	0.0265420662673908	0.0471533029794828	89	55	63	57
MA0617.1	Id2	0.155660281870336	2.83229689113636e-09	0.0597918461827123	0.0450932470673453	25	116	24	58
MA0636.1	BHLHE41	0.168835212162881	1.12278560106245e-10	0.0479656175036903	0.0443591128025753	16	100	36	59
MA0823.1	HEY1	0.107710431429469	3.74833862094524e-14	0.027047807534902	0.0439201937071561	66	74	62	60
MA0763.1	ETV3	0.0924907361143167	1.89507096766003e-22	0.00960715589844705	0.0431639208717498	80	37	83	61
MA0490.1	JUNB	0.137411623125909	8.93340470337682e-16	0.0221046301046892	0.0426147322564544	36	64	71	62
MA0079.3	SP1	0.088609813662244	4.94623950158552e-21	0.0104546836363136	0.0424348587054931	82	39	81	63
MA0162.2	EGR1	0.091362832123017	1.29364433324323e-20	0.0102578108296882	0.0423030932623778	81	40	82	64
MA0591.1	Bach1::Mafk	0.121991723524291	1.47142386173269e-12	0.0306975746277708	0.0419208124099869	52	86	57	65
MA0609.1	Crem	0.134837109817723	9.84732951755032e-10	0.0438577047989974	0.0416291197146947	39	108	39	66
MA0622.1	Mlxip	0.155352580842372	8.28202847130937e-09	0.0557998302146484	0.0412356371203247	26	124	29	67
MA0655.1	JDP2	0.116124108179857	9.13255061437893e-15	0.0221604197326492	0.0412152302285949	59	71	70	68
MA0746.1	SP3	0.0745695307395463	9.89703066096909e-23	0.00410192626039217	0.0400115678144559	103	36	99	69
MA0741.1	KLF16	0.0752106065117059	3.09157630415838e-19	0.00629589312806893	0.0387015311024201	101	46	89	70
MA0048.2	NHLH1	0.0885558534545872	4.14009704413656e-17	0.0095628807570485	0.0381243123202294	83	58	84	71
MA0596.1	SREBF2	0.101956460355991	5.26553825955582e-14	0.0171445717962679	0.0380099715659503	73	75	76	72
MA0024.3	E2F1	0.101418131747817	8.33190016101546e-11	0.0296226064341326	0.0377896753912039	76	99	60	73
